Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G,GS,SV,IP,H,HR,BB,SO,pos,
Pat Burrell,20,24,12,18.9,16.6,17.7,53.6,1640,5503,767,1393,292,976,7,932,0.253,0.361,0.472,0.834,116,,,,,,,,,,,,,,*7DH3/9,
Chipper Jones,181,70,19,85.3,46.8,66,55.7,2499,8984,1619,2726,468,1623,150,1512,0.303,0.401,0.529,0.93,141,,,,,,,,,,,,,,*5*7H6/D9,
Vladimir Guerrero,209,59,16,59.5,41.2,50.3,57.2,2147,8155,1328,2590,449,1496,181,737,0.318,0.379,0.553,0.931,140,,,,,,,,,,,,,,*9*DH/87,
Jim Thome,156,57,22,72.9,41.5,57.2,54.8,2543,8422,1583,2328,612,1699,19,1747,0.276,0.402,0.554,0.956,147,,,,,,,,,,,,,,*3*D*5H,
Trevor Hoffman,159,19,18,28,19.4,23.7,32.6,1007,34,1,4,0,5,0,0,0.118,0.118,0.176,0.294,-22,61,75,2.87,141,1.058,1035,0,601,1089.1,846,100,307,1133,*1,
Edgar Martinez,132,50,18,68.4,43.7,56,55.7,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147,,,,,,,,,,,,,,*D*5H/3,
Mike Mussina,121,54,18,82.8,44.5,63.6,61.6,22,52,3,9,0,5,0,1,0.173,0.189,0.192,0.381,1,270,153,3.68,123,1.192,537,536,0,3562.2,3460,376,785,2813,*1,
Roger Clemens,332,73,24,139.2,65.9,102.6,61.6,95,179,5,31,0,12,0,13,0.173,0.236,0.207,0.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1,
Barry Bonds,340,77,22,162.8,72.7,117.7,53.6,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182,,,,,,,,,,,,,,*78HD/9,
Curt Schilling,171,46,20,79.5,48.6,64.1,61.6,402,773,39,117,0,29,1,25,0.151,0.178,0.171,0.348,-9,216,146,3.46,127,1.137,569,436,22,3261,2998,347,711,3116,*1/H,
Omar Vizquel,120,42,24,45.6,26.8,36.2,55.3,2968,10586,1445,2877,80,951,404,1028,0.272,0.336,0.352,0.688,82,,,,,,,,,,,,,,*65H4/D379,
Larry Walker,148,58,17,72.7,44.7,58.7,57.2,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,,,,,,,,,,,,,,*9H387/D45,
Fred McGriff,100,48,19,52.6,36,44.3,54.8,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134,,,,,,,,,,,,,,*3DH,
Manny Ramirez,226,69,19,69.3,39.9,54.6,53.6,2302,8244,1544,2574,555,1831,38,1329,0.312,0.411,0.585,0.996,154,,,,,,,,,,,,,,*7*9*DH,
Jeff Kent,123,51,17,55.4,35.8,45.6,57,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123,,,,,,,,,,,,,,*453H/D6,
Billy Wagner,107,24,16,27.7,19.8,23.7,32.6,810,20,1,2,0,1,0,1,0.1,0.143,0.1,0.243,-35,47,40,2.31,187,0.998,853,0,422,903,601,82,300,1196,*1,
Gary Sheffield,158,61,22,60.5,38,49.3,57.2,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140,,,,,,,,,,,,,,*9*7*5*D6H/3,
Scott Rolen,99,40,17,70.1,43.6,56.9,55.7,2038,7398,1211,2077,316,1287,118,899,0.281,0.364,0.49,0.855,122,,,,,,,,,,,,,,*5/H,
Sammy Sosa,202,52,18,58.6,43.8,51.2,57.2,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128,,,,,,,,,,,,,,*98DH/7,
Andruw Jones,109,34,17,62.7,46.4,54.6,58,2196,7599,1204,1933,434,1289,152,891,0.254,0.337,0.486,0.823,111,,,,,,,,,,,,,,*89H7D/3,
