Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G,GS,SV,IP,H,HR,BB,SO,pos
Gary Sheffield,158,61,22,60.3,37.9,49.1,58.1,2576,9217,1636,2689,509,1676,253,1475,0.292,0.393,0.514,0.907,140,,,,,,,,,,,,,,*9*7*5*D6/3
Billy Wagner,107,24,16,28.1,19.9,24,34.4,854,20,1,2,0,1,0,1,0.1,0.143,0.1,0.243,-35,47,40,2.31,187,0.998,853,0,422,903,601,82,300,1196,*1
Sammy Sosa,202,52,18,58.4,43.7,51,58.1,2354,8813,1475,2408,609,1667,234,929,0.273,0.344,0.534,0.878,128,,,,,,,,,,,,,,*98D/7
Jim Edmonds,88,39,17,60.3,42.5,51.4,57.8,2011,6858,1251,1949,393,1199,67,998,0.284,0.376,0.527,0.903,132,,,,,,,,,,,,,,*8739/D
Nomar Garciaparra,112,41,14,44.2,43,43.6,54.8,1434,5586,927,1747,229,936,95,403,0.313,0.361,0.521,0.882,124,,,,,,,,,,,,,,*635/D4
Mike Sweeney,48,28,16,24.7,21.7,23.2,54.2,1454,5188,759,1540,215,909,53,522,0.297,0.366,0.486,0.851,118,,,,,,,,,,,,,,*D*32
David Eckstein,28,21,10,20.8,19,19.9,54.8,1311,5041,701,1414,35,392,123,376,0.28,0.345,0.355,0.701,87,,,,,,,,,,,,,,*64D
Jason Kendall,108,38,15,41.5,30.3,35.9,43.4,2085,7627,1030,2195,75,744,189,721,0.288,0.366,0.378,0.744,95,,,,,,,,,,,,,,*2/79D
Garret Anderson,74,32,17,25.6,22.7,24.2,53.3,2228,8640,1084,2529,287,1365,80,429,0.293,0.324,0.461,0.785,102,,,,,,,,,,,,,,*7*8D9
Mark Grudzielanek,49,25,15,26.3,20.6,23.4,56.9,1802,7052,946,2040,90,640,133,364,0.289,0.332,0.393,0.725,90,,,,,,,,,,,,,,*4*65/D
Mike Hampton,27,13,16,29,25.6,27.3,62.1,448,725,97,178,16,79,3,47,0.246,0.294,0.356,0.65,67,148,115,4.06,107,1.442,419,355,1,2268.1,2370,200,901,1387,*1
Brad Ausmus,80,25,18,16.4,15,15.7,43.4,1971,6279,718,1579,80,607,102,634,0.251,0.325,0.344,0.669,75,,,,,,,,,,,,,,*2/3456
Mike Lowell,40,23,13,24.8,23.4,24.1,55.1,1601,5813,771,1619,223,952,30,548,0.279,0.342,0.464,0.805,108,,,,,,,,,,,,,,*53D/4
Luis Castillo,60,31,15,28.9,23.9,26.4,56.9,1720,6510,1001,1889,28,443,370,800,0.29,0.368,0.351,0.719,92,,,,,,,,,,,,,,*4
Randy Winn,20,19,13,27.5,24.6,26.1,57.8,1717,6186,863,1759,110,662,215,526,0.284,0.343,0.416,0.759,99,,,,,,,,,,,,,,*8*9*7/D5
Troy Glaus,59,28,13,37.9,32.8,35.3,55.1,1537,5410,889,1375,320,950,56,854,0.254,0.358,0.489,0.847,119,,,,,,,,,,,,,,*53D/6
