Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G,GS,SV,IP,H,HR,BB,SO,pos
Ken Griffey Jr,235,61,22,83.6,53.9,68.8,57.8,2671,9801,1662,2781,630,1836,184,1312,0.284,0.37,0.538,0.907,136,,,,,,,,,,,,,,*89D/73
Mike Piazza,207,62,16,59.4,43.1,51.2,43.4,1912,6911,1048,2127,427,1335,17,759,0.308,0.377,0.545,0.922,142,,,,,,,,,,,,,,*2D3
Jeff Bagwell,150,59,15,79.6,48.2,63.9,54.2,2150,7797,1517,2314,449,1529,202,1401,0.297,0.408,0.54,0.948,149,,,,,,,,,,,,,,*3/D9
Tim Raines,90,47,23,69.1,42.2,55.6,53.3,2502,8872,1571,2605,170,980,808,1330,0.294,0.385,0.425,0.81,123,,,,,,,,,,,,,,*78D4/9
Trevor Hoffman,159,19,18,28.4,19.6,24,34.4,1035,34,1,4,0,5,0,0,0.118,0.118,0.176,0.294,-22,61,75,2.87,141,1.058,1035,0,601,1089.1,846,100,307,1133,*1
Curt Schilling,171,46,20,79.9,49,64.5,62.1,571,773,39,117,0,29,1,25,0.151,0.178,0.171,0.348,-9,216,146,3.46,127,1.137,569,436,22,3261,2998,347,711,3116,*1
Roger Clemens,332,73,24,140.3,66.3,103.3,62.1,709,179,5,31,0,12,0,13,0.173,0.236,0.207,0.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1
Barry Bonds,340,76,22,162.4,72.7,117.6,53.3,2986,9847,2227,2935,762,1996,514,2558,0.298,0.444,0.607,1.051,182,,,,,,,,,,,,,,*78D/9
Edgar Martinez,132,50,18,68.3,43.6,56,55.1,2055,7213,1219,2247,309,1261,49,1283,0.312,0.418,0.515,0.933,147,,,,,,,,,,,,,,*D*5/3
Mike Mussina,121,54,18,83,44.5,63.8,62.1,537,52,3,9,0,5,0,1,0.173,0.189,0.192,0.381,1,270,153,3.68,123,1.192,537,536,0,3562.2,3460,376,785,2813,*1
Alan Trammell,118,40,20,70.4,44.6,57.5,54.8,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110,,,,,,,,,,,,,,*6D5/478
Lee Smith,127,13,18,29.6,21.1,25.4,34.4,1023,64,2,3,1,2,0,3,0.047,0.09,0.094,0.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1
Fred McGriff,100,48,19,52.4,35.8,44.1,54.2,2460,8757,1349,2490,493,1550,72,1305,0.284,0.377,0.509,0.886,134,,,,,,,,,,,,,,*3D
Jeff Kent,122,51,17,55.2,35.6,45.4,56.9,2298,8498,1320,2461,377,1518,94,801,0.29,0.356,0.5,0.855,123,,,,,,,,,,,,,,*453/D6
Larry Walker,148,58,17,72.6,44.6,58.6,58.1,1988,6907,1355,2160,383,1311,230,913,0.313,0.4,0.565,0.965,141,,,,,,,,,,,,,,*9387/D45
Mark McGwire,170,42,16,62,41.8,51.9,54.2,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163,,,,,,,,,,,,,,*3D/59
