Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,PosSummary,position,method,induction.year,first.year,last.year,Num.Years.On.Ballot,mitchell.report
Frank Tanana,55,35,21,52.7,36,44.3,57.9,639,59,3,9,0,5,0,2,0.153,0.18,0.203,0.384,4,240,236,3.66,106,1.27,638,616,1,4188.1,4063,448,1255,2773,*1/D,P,0,0,1973,1993,1,0
Don Sutton,149,58,23,61.3,32,46.7,57.9,785,1354,64,195,0,64,1,60,0.144,0.183,0.157,0.34,-2,324,256,3.26,108,1.142,774,756,5,5282.1,4692,472,1343,3574,*1,P,1,1998,1966,1988,5,0
Ron Santo,88,41,15,66.6,52.1,59.4,53.4,2243,8143,1138,2254,342,1331,35,1108,0.277,0.362,0.464,0.826,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*5D4/673,3B,4,2012,1960,1974,15,0
Jack Clark,28,35,18,50.1,29.8,39.9,55.4,1994,6847,1118,1826,340,1180,77,1262,0.267,0.379,0.476,0.854,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*3*D/875,RF,0,0,1975,1992,1,0
Pedro Guerrero,54,29,15,31.7,30.1,30.9,53.4,1536,5392,730,1618,215,898,97,609,0.3,0.37,0.48,0.85,137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3*5978/4,1B,0,0,1978,1992,1,0
Willie Randolph,92,34,18,63,34.8,48.9,54.4,2202,8018,1239,2210,54,687,271,1243,0.276,0.373,0.351,0.724,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*4/D5,2B,0,0,1975,1992,1,0
Carney Lansford,33,25,15,37.4,26.9,32.1,53.4,1862,7158,1007,2074,151,874,224,553,0.29,0.343,0.411,0.753,111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*53D/64,3B,0,0,1978,1992,1,0
Brian Downing,20,32,20,47.8,27.6,37.7,50.7,2344,7853,1188,2099,275,1073,50,1197,0.267,0.37,0.425,0.796,122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*D*7*29/5,DH,0,0,1973,1992,1,0
Mike Flanagan,49,17,18,22.8,17,19.9,57.9,529,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,167,143,3.9,100,1.334,526,404,4,2770,2806,251,890,1491,*1/D,P,0,0,1975,1992,1,0
Rick Dempsey,56,22,24,23.1,16.2,19.6,40.7,1766,4692,525,1093,96,471,20,592,0.233,0.319,0.347,0.666,87,0,0,4.5,106,2,2,0,0,2,3,0,1,0,*2/D97315,C,0,0,1969,1992,1,0
Phil Niekro,157,52,24,90.7,52.3,71.5,57.9,866,1537,80,260,7,109,0,17,0.169,0.183,0.211,0.395,8,318,274,3.35,115,1.268,864,716,29,5404,5044,482,1809,3342,*1,P,1,1997,1964,1987,5,0
Joe Torre,96,40,18,54.2,35.2,44.7,40.7,2209,7874,996,2342,252,1185,23,779,0.297,0.365,0.452,0.817,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2*3*5/7,C,0,0,1960,1977,15,0
Dick Allen,99,39,15,55.6,43.8,49.7,53.4,1749,6332,1099,1848,351,1119,133,894,0.292,0.378,0.534,0.912,156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3*57/4D68,1B,0,0,1963,1977,14,0
Graig Nettles,63,31,22,62.8,40.1,51.5,53.4,2700,8986,1193,2225,390,1314,32,1088,0.248,0.329,0.421,0.75,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*57/39D68,3B,0,0,1967,1988,4,0
Ken Griffey,40,31,19,31.6,22.4,27,55.4,2097,7229,1129,2143,152,859,200,719,0.296,0.359,0.431,0.79,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*783/D,RF,0,0,1973,1991,1,0
Fred Lynn,85,33,17,46.7,36.5,41.6,54.8,1969,6925,1063,1960,306,1111,72,857,0.283,0.36,0.484,0.845,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*897D,CF,0,0,1974,1990,2,0
