Name,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,PosSummary,position,method,induction.year,first.year,last.year,Num.Years.On.Ballot,mitchell.report
Bill Buckner,70,26,22,11.8,15.1,13.5,51.5,2517,9397,1077,2715,174,1208,183,450,0.289,0.321,0.408,0.729,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3*79D,1B,0,0,1969,1990,1,0
John Tudor,37,26,12,32.5,27.9,30.2,57.9,289,384,22,59,0,18,1,17,0.154,0.189,0.182,0.371,4,117,72,3.12,124,1.198,281,263,1,1797,1677,156,475,988,1,P,0,0,1979,1990,1,0
Jerry Reuss,49,29,22,31,27.6,29.3,57.9,631,1024,71,171,1,58,1,69,0.167,0.22,0.195,0.415,17,220,191,3.64,100,1.325,628,547,11,3669.2,3734,245,1127,1907,*1,P,0,0,1969,1990,1,0
Chet Lemon,23,20,16,52,35.5,43.8,54.8,1988,6868,973,1875,215,884,58,749,0.273,0.355,0.442,0.797,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*9D/547,CF,0,0,1975,1990,1,0
Jeffrey Leonard,9,11,14,7.2,12.6,9.9,50.7,1415,5045,614,1342,144,723,163,342,0.266,0.312,0.411,0.723,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7D98/3,LF,0,0,1977,1990,1,0
Claudell Washington,12,16,17,16.3,16.3,16.3,55.4,1912,6787,926,1884,164,824,312,468,0.278,0.325,0.42,0.745,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*7*8D,RF,0,0,1974,1990,1,0
Johnny Ray,16,18,10,21.6,20.7,21.2,54.4,1353,5188,604,1502,53,594,80,353,0.29,0.333,0.391,0.724,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*47/D,2B,0,0,1981,1990,1,0
Bob Knepper,20,15,15,19.1,20.8,20,57.9,449,840,47,115,6,59,2,41,0.137,0.177,0.196,0.374,6,146,155,3.68,95,1.327,445,413,1,2708,2737,228,857,1473,*1,P,0,0,1976,1990,1,0
Mike Schmidt,250,56,18,103,57.2,80.1,53.4,2404,8352,1506,2234,548,1595,174,1507,0.267,0.38,0.527,0.908,147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*53/64,3B,1,1995,1972,1989,1,0
Thurman Munson,90,29,11,43.3,35.1,39.2,40.7,1423,5344,696,1558,113,701,48,438,0.292,0.346,0.41,0.756,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2D/9375,C,0,0,1969,1979,15,0
Vida Blue,114,35,17,41.6,36.5,39.1,57.9,508,512,37,53,4,15,0,49,0.104,0.186,0.145,0.33,-4,209,161,3.27,108,1.233,502,473,2,3343.1,2939,263,1185,2175,*1,P,0,0,1969,1986,4,0
George Foster,92,27,18,41.3,35.5,38.4,50.7,1977,7023,986,1925,348,1239,51,666,0.274,0.338,0.48,0.818,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*789/D3,LF,0,0,1969,1986,4,0
Don Baylor,44,30,19,24.4,19.7,22.1,50.7,2292,8198,1236,2135,338,1276,285,805,0.26,0.342,0.436,0.777,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*D*7938,DH,0,0,1970,1988,2,0
Darrell Evans,42,40,21,55.1,35.9,45.5,53.4,2687,8973,1344,2223,414,1354,98,1605,0.248,0.361,0.431,0.792,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*5*3D7/6,3B,0,0,1969,1989,1,0
Buddy Bell,67,30,18,61.6,38.7,50.2,53.4,2405,8995,1151,2514,201,1106,55,836,0.279,0.341,0.406,0.747,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*5986/D374,3B,0,0,1972,1989,1,0
Kent Tekulve,62,14,16,24,18.4,21.2,32.3,1050,121,8,10,0,2,0,6,0.083,0.126,0.083,0.209,-41,94,90,2.85,132,1.25,1050,0,184,1436.2,1305,63,491,779,*1/7,P,0,0,1974,1989,1,0
Willie Hernandez,54,13,13,15.5,14.9,15.2,32.3,747,63,4,13,0,3,2,1,0.206,0.219,0.238,0.457,23,70,63,3.38,119,1.245,744,11,147,1044.2,952,97,349,788,*1,P,0,0,1977,1989,1,0
Bob Forsch,33,20,16,22.3,20.8,21.5,57.9,509,893,77,190,12,84,3,27,0.213,0.235,0.321,0.557,53,168,136,3.76,98,1.291,498,422,3,2794.2,2777,216,832,1133,*1,P,0,0,1974,1989,1,0
Mike Krukow,10,11,14,21.6,18.5,20,57.9,371,722,44,139,5,54,3,17,0.193,0.214,0.244,0.457,26,124,117,3.9,96,1.349,369,355,1,2190.2,2188,196,767,1478,*1,P,0,0,1976,1989,1,0
Chris Speier,26,19,19,27.9,21.2,24.5,52.1,2260,7156,770,1759,112,720,42,847,0.246,0.327,0.349,0.676,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*654/3,SS,0,0,1971,1989,1,0
Jim Sundberg,87,24,16,37.3,27,32.2,40.7,1962,6021,621,1493,95,624,20,699,0.248,0.327,0.348,0.674,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2/7D,C,0,0,1974,1989,1,0
Greg Gross,12,16,17,11.2,12.5,11.9,55.4,1809,3745,449,1073,7,308,39,523,0.287,0.372,0.351,0.723,103,0,0,10.8,50,3.6,2,0,0,1.2,4,0,2,3,*7*983/1,LF,0,0,1973,1989,1,0
Manny Trillo,23,12,17,8.4,8.8,8.6,54.4,1780,5950,598,1562,61,571,56,452,0.263,0.316,0.345,0.66,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*453/6,2B,0,0,1973,1989,1,0
Doyle Alexander,23,24,19,30.7,24.9,27.8,57.9,562,265,19,44,0,17,0,9,0.166,0.195,0.196,0.391,9,194,174,3.76,103,1.293,561,464,3,3367.2,3376,324,978,1528,*1,P,0,0,1971,1989,1,0
Rick Rhoden,24,21,16,32.8,28.5,30.6,57.9,427,761,58,181,9,75,0,17,0.238,0.253,0.323,0.576,60,151,125,3.59,104,1.314,413,380,1,2593.2,2606,198,801,1419,*1/D,P,0,0,1974,1989,1,0
Steve Carlton,266,58,24,84.6,52.3,68.5,57.9,745,1719,123,346,13,140,2,41,0.201,0.223,0.259,0.482,33,329,244,3.22,115,1.247,741,709,2,5217.2,4672,414,1833,4136,*1,P,1,1994,1965,1988,1,0
Orlando Cepeda,126,37,17,46.1,32.2,39.2,51.5,2124,7927,1131,2351,379,1365,142,588,0.297,0.35,0.499,0.849,133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*37D/95,1B,4,1999,1958,1974,15,0
Ken Boyer,86,36,15,58.7,43.9,51.3,53.4,2034,7455,1104,2143,282,1141,105,713,0.287,0.349,0.462,0.81,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*5836,3B,0,0,1955,1969,15,0
Pete Rose,311,55,24,76.7,45,60.8,50.7,3562,14053,2165,4256,160,1314,198,1566,0.303,0.375,0.409,0.784,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3*7*5*4*98,1B,0,0,1963,1986,3,0
Ted Simmons,124,44,21,46.7,33.2,40,40.7,2456,8680,1074,2472,248,1389,21,855,0.285,0.348,0.437,0.785,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2D37/59,C,0,0,1968,1988,1,0
Joe Niekro,47,26,22,26.2,20.2,23.2,57.9,706,973,55,152,1,72,1,38,0.156,0.188,0.188,0.376,8,221,204,3.59,98,1.319,702,500,16,3584.1,3466,276,1262,1747,*1,P,0,0,1967,1988,1,0
Larry Parrish,22,18,15,12.8,14.2,13.5,53.4,1891,6792,850,1789,256,992,30,529,0.263,0.318,0.439,0.757,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*5*9*D3/746,3B,0,0,1974,1988,1,0
Jose Cruz,28,28,19,51,34.6,42.8,50.7,2353,7917,1036,2251,165,1077,317,898,0.284,0.354,0.42,0.774,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7*98/D3,LF,0,0,1970,1988,1,0
Phil Garner,17,17,16,26.5,21.5,24,54.4,1860,6136,780,1594,109,738,225,564,0.26,0.323,0.389,0.711,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*4*56/D,2B,0,0,1973,1988,1,0
Ray Knight,20,9,13,10.9,14,12.4,53.4,1495,4829,490,1311,84,595,14,343,0.271,0.321,0.39,0.711,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*5*3D/4769,3B,0,0,1974,1988,1,0
Scott McGregor,37,16,13,17.7,18.7,18.2,57.9,357,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,138,108,3.99,98,1.291,356,309,5,2140.2,2245,235,518,904,*1/D,P,0,0,1976,1988,1,0
Mario Soto,27,15,12,23.5,25.3,24.4,57.9,303,530,32,70,1,24,0,11,0.132,0.152,0.166,0.318,-12,100,92,3.47,108,1.186,297,224,4,1730.1,1395,172,657,1449,1,P,0,0,1977,1988,1,0
George Hendrick,30,23,18,25.6,22.8,24.2,54.8,2048,7129,941,1980,267,1111,59,567,0.278,0.329,0.446,0.775,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*873/D,RF,0,0,1971,1988,1,0
Bob Horner,16,22,10,20,17.7,18.8,53.4,1020,3777,560,1047,218,685,14,369,0.277,0.34,0.499,0.839,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*5*3,3B,0,0,1978,1988,1,0
Chris Chambliss,16,15,17,23.4,18.1,20.8,51.5,2175,7571,912,2109,185,972,40,632,0.279,0.334,0.415,0.749,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3/D,1B,0,0,1971,1988,1,0
Reggie Jackson,170,54,21,68.4,44.6,56.5,55.4,2820,9864,1551,2584,563,1702,228,1375,0.262,0.356,0.49,0.846,139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*D8/7,RF,1,1993,1967,1987,1,0
Bill Madlock,69,31,15,35.1,27,31,53.4,1806,6594,920,2008,163,860,174,605,0.305,0.365,0.442,0.807,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*54D3,3B,0,0,1973,1987,1,0
Ron Cey,36,29,17,50.4,35.5,42.9,53.4,2073,7162,977,1868,316,1139,24,1012,0.261,0.354,0.445,0.799,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*5D/3,3B,0,0,1971,1987,1,0
Doug DeCinces,12,20,15,38.6,29.6,34.1,53.4,1649,5809,778,1505,237,879,58,618,0.259,0.329,0.445,0.774,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*54/D367,3B,0,0,1973,1987,1,0
Davey Lopes,33,26,16,40.3,29.2,34.8,54.4,1812,6354,1023,1671,155,614,557,833,0.263,0.349,0.388,0.737,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*48795/D6,2B,0,0,1972,1987,1,0
Andre Thornton,18,19,14,22,22,22,51.5,1565,5291,792,1342,253,895,48,876,0.254,0.36,0.452,0.811,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*D*3/95,DH,0,0,1973,1987,1,0
Bill Campbell,31,11,15,11.4,12.6,12,32.3,700,26,2,4,0,2,0,4,0.154,0.267,0.154,0.421,19,83,68,3.54,111,1.329,700,9,126,1229.1,1139,82,495,864,*1,P,0,0,1973,1987,1,0
Gary Matthews,20,29,16,27.3,20.9,24.1,50.7,2033,7147,1083,2011,234,978,183,940,0.281,0.364,0.439,0.802,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7*9D,LF,0,0,1972,1987,1,0
Hal McRae,49,24,19,24.7,22.4,23.6,50.7,2084,7218,940,2091,191,1097,109,648,0.29,0.351,0.454,0.805,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*D*798/54,DH,0,0,1968,1987,1,0
Darrell Porter,63,31,17,37.8,27.4,32.6,40.7,1782,5539,765,1369,188,826,39,905,0.247,0.354,0.409,0.763,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2D/3,C,0,0,1971,1987,1,0
Cecil Cooper,96,28,17,32.6,28.3,30.4,51.5,1896,7349,1012,2192,241,1125,89,448,0.298,0.337,0.466,0.803,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3*D,1B,0,0,1971,1987,1,0
Rick Burleson,20,17,13,21,19.7,20.4,52.1,1346,5139,656,1401,50,449,72,420,0.273,0.328,0.361,0.689,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*64D/5,SS,0,0,1974,1987,1,0
Tom Seaver,244,66,20,105.3,55.6,80.5,57.9,677,1315,99,202,12,86,4,108,0.154,0.219,0.21,0.429,22,311,205,2.86,127,1.121,656,647,1,4783,3971,380,1390,3640,*1,P,1,1992,1967,1986,1,0
Rollie Fingers,140,18,17,24,18.3,21.1,32.3,945,180,10,31,2,9,0,3,0.172,0.186,0.222,0.408,16,114,118,2.9,120,1.156,944,37,341,1701.1,1474,123,492,1299,*1,P,1,1992,1968,1985,2,0
Bill Mazeroski,71,16,17,32.3,23.9,28.1,54.4,2163,7755,769,2016,138,853,27,447,0.26,0.299,0.367,0.667,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*4/5,2B,4,2001,1956,1972,15,0
Maury Wills,104,29,14,37.5,28.8,33.2,52.1,1942,7588,1067,2134,20,458,586,552,0.281,0.33,0.331,0.661,88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6*5/4,SS,0,0,1959,1972,15,0
Bobby Grich,42,32,17,67.3,44.3,55.8,54.4,2008,6890,1033,1833,224,864,104,1087,0.266,0.371,0.424,0.794,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*4635/D,2B,0,0,1970,1986,1,0
Dusty Baker,25,24,19,34.2,24.8,29.5,50.7,2039,7117,964,1981,242,1013,137,762,0.278,0.347,0.432,0.779,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7*8*93/D,LF,0,0,1968,1986,1,0
Bill Russell,26,15,18,28.6,20.1,24.3,52.1,2181,7318,796,1926,46,627,167,483,0.263,0.31,0.338,0.648,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*69847/5,SS,0,0,1969,1986,1,0
Dave Kingman,49,23,16,14.8,14.9,14.9,50.7,1941,6677,901,1575,442,1210,85,608,0.236,0.302,0.478,0.78,115,0,0,9,47,2.25,2,0,0,4,3,0,6,4,*3*7*D59/1,1B,0,0,1971,1986,1,0
Steve Yeager,32,23,15,16.6,14,15.3,40.7,1269,3584,357,816,102,410,14,342,0.228,0.298,0.355,0.653,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*2,C,0,0,1972,1986,1,0
Cesar Cedeno,42,28,17,49.7,40.1,44.9,54.8,2006,7310,1084,2087,199,976,550,664,0.285,0.347,0.443,0.79,123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8397,CF,0,0,1970,1986,1,0
Dennis Leonard,39,21,12,23.3,22,22.7,57.9,313,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,144,106,3.7,107,1.262,312,302,1,2187,2137,202,622,1323,*1/D,P,0,0,1974,1986,1,0
Toby Harrah,20,33,17,47.6,33.4,40.5,53.4,2155,7402,1115,1954,195,918,238,1153,0.264,0.365,0.395,0.76,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*5*64/D9,3B,0,0,1969,1986,1,0
Ben Oglivie,32,18,16,23.4,21.8,22.6,50.7,1754,5913,784,1615,235,901,87,560,0.273,0.336,0.45,0.786,118,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7*9D3/8,LF,0,0,1971,1986,1,0
Ken Forsch,12,14,16,23.6,19.7,21.6,57.9,521,383,16,52,0,17,1,16,0.136,0.17,0.151,0.322,-7,114,113,3.37,106,1.249,521,241,51,2127.1,2071,155,586,1047,*1,P,0,0,1970,1986,1,0
Garry Maddox,25,16,15,34.4,29.1,31.8,54.8,1749,6331,777,1802,117,754,248,323,0.285,0.32,0.413,0.733,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8/79,CF,0,0,1972,1986,1,0
Gorman Thomas,35,16,13,17.2,19.8,18.5,54.8,1435,4677,681,1051,268,782,50,697,0.225,0.324,0.448,0.772,114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8D97/35,CF,0,0,1973,1986,1,0
John Denny,25,13,13,30,28.2,29.1,57.9,326,570,44,97,0,29,9,19,0.17,0.197,0.193,0.39,8,123,108,3.59,105,1.336,325,322,0,2148.2,2093,137,778,1146,*1,P,0,0,1974,1986,1,0
Pete Vuckovich,24,12,11,14.5,15.5,15,57.9,286,208,15,33,0,13,1,3,0.159,0.169,0.192,0.361,-1,93,69,3.66,104,1.374,286,186,10,1455.1,1454,107,545,882,1,P,0,0,1975,1986,1,0
Rod Carew,242,55,19,76.6,47.6,62.1,54.4,2469,9315,1424,3053,92,1015,353,1018,0.328,0.393,0.429,0.822,131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3*4D/657,1B,1,1991,1967,1985,1,0
Gaylord Perry,177,57,22,84.5,49.6,67,57.9,787,1076,48,141,6,47,0,22,0.131,0.153,0.164,0.316,-10,314,265,3.11,117,1.181,777,690,11,5350,4938,399,1379,3534,*1,P,1,1991,1962,1983,3,0
Fergie Jenkins,132,53,19,79.4,49.1,64.3,57.9,665,896,54,148,13,85,0,41,0.165,0.2,0.252,0.452,23,284,226,3.34,115,1.142,664,594,7,4500.2,4142,484,997,3192,*1,P,1,1991,1965,1983,3,0
Jim Bunning,98,42,17,55.8,47,51.4,57.9,601,1275,82,213,7,75,0,34,0.167,0.188,0.206,0.395,9,224,184,3.27,115,1.179,591,519,16,3760.1,3433,372,1000,2855,*1,P,4,1996,1955,1971,15,0
Harvey Kuenn,100,27,15,22.8,20.4,21.6,52.1,1833,6913,951,2092,87,671,68,594,0.303,0.357,0.408,0.765,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6*7*9853,SS,0,0,1952,1966,15,0
Al Oliver,116,40,18,40.2,26.6,33.4,54.8,2368,9049,1189,2743,219,1326,84,535,0.303,0.344,0.451,0.795,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*3*7D9,CF,0,0,1968,1985,1,0
Sparky Lyle,78,18,16,21.8,18.3,20,32.3,899,78,8,15,0,4,1,5,0.192,0.241,0.218,0.459,31,99,76,2.88,128,1.275,899,0,238,1390.1,1292,84,481,873,*1,P,0,0,1967,1982,4,0
Larry Bowa,70,21,16,20,20.3,20.1,52.1,2247,8418,987,2191,15,525,318,474,0.26,0.3,0.32,0.62,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6/4,SS,0,0,1970,1985,1,0
Jerry Koosman,59,33,19,49.6,34.8,42.2,57.9,612,915,36,109,2,46,1,33,0.119,0.151,0.141,0.292,-17,222,209,3.36,110,1.259,612,527,17,3839.1,3635,290,1198,2556,*1,P,0,0,1967,1985,1,0
John Lowenstein,7,13,16,8.1,11.1,9.6,50.7,1368,3476,510,881,116,441,128,446,0.253,0.337,0.403,0.741,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*79D548/36,LF,0,0,1970,1985,1,0
Jeff Burroughs,35,18,16,15,14.7,14.9,55.4,1689,5536,720,1443,240,882,16,831,0.261,0.355,0.439,0.795,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*7D/3,RF,0,0,1970,1985,1,0
Mike Jorgensen,4,10,17,7.9,9.8,8.8,51.5,1633,3421,429,833,95,426,58,532,0.243,0.347,0.373,0.72,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3798/D,1B,0,0,1968,1985,1,0
Ellis Valentine,5,9,10,15.8,16.3,16,55.4,894,3166,380,881,123,474,59,180,0.278,0.315,0.458,0.773,113,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*98/7D,RF,0,0,1975,1985,1,0
Mike Hargrove,14,19,12,27.4,23.1,25.2,51.5,1666,5564,783,1614,80,686,24,965,0.29,0.396,0.391,0.787,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*37D,1B,0,0,1974,1985,1,0
Richie Hebner,12,19,18,30.8,22.2,26.5,53.4,1908,6144,865,1694,203,890,38,687,0.276,0.352,0.438,0.79,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*5*3D/974,3B,0,0,1968,1985,1,0
Burt Hooton,41,22,15,33.2,29,31.1,57.9,481,748,42,92,4,49,0,44,0.123,0.173,0.163,0.336,-6,151,136,3.38,108,1.243,480,377,7,2652,2497,193,799,1491,*1,P,0,0,1971,1985,1,0
Oscar Gamble,8,17,17,20.5,16.9,18.7,55.4,1584,4502,656,1195,200,666,47,610,0.265,0.356,0.454,0.811,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*D*978/3,DH,0,0,1969,1985,1,0
Bob Bailor,2,1,11,7.7,8.2,7.9,52.1,955,2937,339,775,9,222,90,187,0.264,0.31,0.325,0.636,77,0,0,7.71,65,2.143,3,0,0,2.1,4,0,1,0,964587/D1,RF,0,0,1975,1985,1,0
Larry Gura,25,17,16,19.1,19.3,19.2,57.9,405,33,1,3,0,1,0,2,0.091,0.143,0.091,0.234,-36,126,97,3.76,106,1.28,403,261,14,2047,2020,204,600,801,*1/D,P,0,0,1970,1985,1,0
John Wathan,2,3,10,3.7,6.6,5.2,40.7,860,2505,305,656,21,261,105,199,0.262,0.318,0.343,0.661,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*239/7D,C,0,0,1976,1985,1,0
Bruce Kison,11,15,15,13.6,12.3,12.9,57.9,388,404,31,66,3,31,2,16,0.163,0.2,0.248,0.448,24,115,88,3.66,102,1.301,380,246,12,1809.2,1693,150,662,1073,*1,P,0,0,1971,1985,1,0
Steve Rogers,48,23,13,42.1,35.2,38.7,57.9,406,881,47,122,0,39,1,61,0.138,0.195,0.152,0.347,-2,158,152,3.17,116,1.232,399,393,2,2837.2,2619,151,876,1621,*1,P,0,0,1973,1985,1,0
Rich Dauer,8,12,10,12.4,12.6,12.5,54.4,1140,3829,448,984,43,372,6,297,0.257,0.31,0.343,0.653,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*45/D3,2B,0,0,1976,1985,1,0
Pat Zachry,10,6,10,9.9,10.1,10,57.9,293,318,9,36,0,6,0,14,0.113,0.15,0.113,0.263,-25,69,67,3.52,102,1.395,293,154,3,1177.1,1147,88,495,669,1,P,0,0,1976,1985,1,0
Al Bumbry,28,15,14,22.3,20.5,21.4,54.8,1496,5053,778,1422,54,402,254,471,0.281,0.343,0.378,0.721,104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*7D9,CF,0,0,1972,1985,1,0
Art Howe,0,5,11,13,13.5,13.3,53.4,891,2626,268,682,43,293,10,275,0.26,0.329,0.379,0.708,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*543/6,3B,0,0,1974,1985,1,0
Geoff Zahn,5,7,13,18.4,19.6,19,57.9,304,43,3,6,0,1,0,0,0.14,0.14,0.14,0.279,-22,111,109,3.74,107,1.354,304,270,1,1849,1978,149,526,705,*1,P,0,0,1973,1985,1,0
Jim Palmer,192,56,19,64.4,45.2,54.8,57.9,576,489,52,85,3,41,1,16,0.174,0.2,0.215,0.414,18,268,152,2.86,125,1.18,558,521,4,3948,3349,303,1311,2212,*1/D,P,1,1990,1965,1984,1,0
Joe Morgan,172,56,22,97.1,58.1,77.6,54.4,2649,9277,1650,2517,268,1133,689,1865,0.271,0.392,0.427,0.819,132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*4/7D58,2B,1,1990,1963,1984,1,0
Roy Face,56,11,16,19,17,18,32.3,853,194,9,31,0,7,0,2,0.16,0.168,0.175,0.344,-6,104,95,3.48,109,1.243,848,27,193,1375,1347,141,362,877,*1,P,0,0,1953,1969,15,0
Tug McGraw,49,12,19,20.5,19.7,20.1,32.3,826,214,14,39,1,18,0,10,0.182,0.221,0.229,0.45,26,96,92,3.14,117,1.254,824,39,180,1514.2,1318,108,582,1109,*1,P,0,0,1965,1984,1,0
Bucky Dent,23,14,12,15.1,15.6,15.4,52.1,1392,4512,451,1114,40,423,17,328,0.247,0.297,0.321,0.618,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6/45D,SS,0,0,1973,1984,1,0
Bob Watson,28,24,19,25.8,22.7,24.3,51.5,1832,6185,802,1826,184,989,27,653,0.295,0.364,0.447,0.811,129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3*7D/29,1B,0,0,1966,1984,1,0
Mickey Rivers,35,16,15,30.3,26,28.1,54.8,1468,5629,785,1660,61,499,267,266,0.295,0.327,0.397,0.724,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8D79,CF,0,0,1970,1984,1,0
Rick Monday,15,21,19,30,21.2,25.6,54.8,1986,6136,950,1619,241,775,98,924,0.264,0.361,0.443,0.804,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8973,CF,0,0,1966,1984,1,0
Lou Piniella,20,14,18,9.3,14.2,11.7,50.7,1747,5867,651,1705,102,766,32,368,0.291,0.333,0.409,0.741,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*79D/83,LF,0,0,1964,1984,1,0
Jerry Remy,3,17,10,12.6,11.8,12.2,54.4,1154,4455,605,1226,7,329,208,356,0.275,0.327,0.328,0.656,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*4/D596,2B,0,0,1975,1984,1,0
Jim Bibby,21,9,12,17.3,19.2,18.3,57.9,341,209,15,31,5,17,0,13,0.148,0.208,0.249,0.457,25,111,101,3.76,99,1.328,340,239,8,1722.2,1565,131,723,1079,*1/D,P,0,0,1972,1984,1,0
Greg Luzinski,53,26,15,23.6,21,22.3,50.7,1821,6505,880,1795,307,1128,37,845,0.276,0.363,0.478,0.84,130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*7*D3/9,LF,0,0,1970,1984,1,0
Mike Torrez,37,18,18,19.7,18.5,19.1,57.9,499,412,24,64,0,15,1,10,0.155,0.179,0.18,0.359,0,185,160,3.96,98,1.45,494,458,0,3043.2,3043,223,1371,1404,*1,P,0,0,1967,1984,1,0
