,,,,,,,,,,,,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,
Rk,Name,YoB,Votes,%vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS+,W,L,ERA,ERA+,WHIP,G,GS,SV,IP,H,HR,BB,SO,Pos Summary
1,y Mariano Rivera\riverma01,1st,425,100.0%,214,30,19,56.3,28.7,42.5,32.6,73,3,0,0,0,1,0,1,.000,.250,.000,.250,-27,82,60,2.21,205,1.000,1115,10,652,1283.2,998,71,286,1173,*1
2,y Edgar Martinez\martied01,10th,363,85.4%,132,50,18,68.4,43.7,56.0,55.7,2055,7213,1219,2247,309,1261,49,1283,.312,.418,.515,.933,147,,,,,,,,,,,,,,*D*5H/3
3,y Roy Halladay\hallaro01,1st,363,85.4%,127,45,16,64.2,50.6,57.4,61.6,115,275,15,34,0,12,0,4,.124,.136,.131,.267,-27,203,105,3.38,131,1.178,416,390,1,2749.1,2646,236,592,2117,*1
4,y Mike Mussina\mussimi01,6th,326,76.7%,121,54,18,82.8,44.5,63.6,61.6,22,52,3,9,0,5,0,1,.173,.189,.192,.381,1,270,153,3.68,123,1.192,537,536,0,3562.2,3460,376,785,2813,*1
5,y Curt Schilling\schilcu01,7th,259,60.9%,171,46,20,79.5,48.6,64.1,61.6,402,773,39,117,0,29,1,25,.151,.178,.171,.348,-9,216,146,3.46,127,1.137,569,436,22,3261.0,2998,347,711,3116,*1/H
6,y Roger Clemens\clemero02,7th,253,59.5%,332,73,24,139.2,65.9,102.6,61.6,95,179,5,31,0,12,0,13,.173,.236,.207,.443,17,354,184,3.12,143,1.173,709,707,0,4916.2,4185,363,1580,4672,*1
7,y Barry Bonds\bondsba01,7th,251,59.1%,340,77,22,162.8,72.7,117.7,53.6,2986,9847,2227,2935,762,1996,514,2558,.298,.444,.607,1.051,182,,,,,,,,,,,,,,*78HD/9
8,y Larry Walker HOF\walkela01,9th,232,54.6%,148,58,17,72.7,44.7,58.7,57.2,1988,6907,1355,2160,383,1311,230,913,.313,.400,.565,.965,141,,,,,,,,,,,,,,*9H387/D45
9,y Omar Vizquel\vizquom01,2nd,182,42.8%,120,42,24,45.6,26.8,36.2,55.3,2968,10586,1445,2877,80,951,404,1028,.272,.336,.352,.688,82,,,,,,,,,,,,,,*65H4/D379
10,y X-Fred McGriff\mcgrifr01,10th,169,39.8%,100,48,19,52.6,36.0,44.3,54.8,2460,8757,1349,2490,493,1550,72,1305,.284,.377,.509,.886,134,,,,,,,,,,,,,,*3DH
11,y Manny Ramirez\ramirma02,3rd,97,22.8%,226,69,19,69.3,39.9,54.6,53.6,2302,8244,1544,2574,555,1831,38,1329,.312,.411,.585,.996,154,,,,,,,,,,,,,,*7*9*DH
12,y Jeff Kent\kentje01,6th,77,18.1%,123,51,17,55.4,35.8,45.6,57.0,2298,8498,1320,2461,377,1518,94,801,.290,.356,.500,.855,123,,,,,,,,,,,,,,*453H/D6
13,y Scott Rolen\rolensc01,2nd,73,17.2%,99,40,17,70.1,43.6,56.9,55.7,2038,7398,1211,2077,316,1287,118,899,.281,.364,.490,.855,122,,,,,,,,,,,,,,*5/H
