,,,,,,,,,,,,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Batting Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,Pitching Stats,
14,y Billy Wagner\wagnebi02,4th,71,16.7%,107,24,16,27.7,19.8,23.7,32.6,810,20,1,2,0,1,0,1,.100,.143,.100,.243,-35,47,40,2.31,187,0.998,853,0,422,903.0,601,82,300,1196,*1
15,y Todd Helton\heltoto01,1st,70,16.5%,175,59,17,61.8,46.6,54.2,54.8,2247,7962,1401,2519,369,1406,37,1335,.316,.414,.539,.953,133,,,,,,,,,,,,,,*3H/7D9
16,y Gary Sheffield\sheffga01,5th,58,13.6%,158,61,22,60.5,38.0,49.3,57.2,2576,9217,1636,2689,509,1676,253,1475,.292,.393,.514,.907,140,,,,,,,,,,,,,,*9*7*5*D6H/3
17,y Andy Pettitte\pettian01,1st,42,9.9%,128,44,18,60.2,34.1,47.2,61.6,108,196,6,27,1,13,0,6,.138,.163,.184,.346,-10,256,153,3.85,117,1.351,531,521,0,3316.0,3448,288,1031,2448,*1/H
18,y Sammy Sosa\sosasa01,7th,36,8.5%,202,52,18,58.6,43.8,51.2,57.2,2354,8813,1475,2408,609,1667,234,929,.273,.344,.534,.878,128,,,,,,,,,,,,,,*98DH/7
19,y Andruw Jones\jonesan01,2nd,32,7.5%,109,34,17,62.7,46.4,54.6,58.0,2196,7599,1204,1933,434,1289,152,891,.254,.337,.486,.823,111,,,,,,,,,,,,,,*89H7D/3
20,y X-Michael Young\youngmi02,1st,9,2.1%,112,36,14,24.7,21.4,23.1,55.3,1970,7918,1137,2375,185,1030,90,575,.300,.346,.441,.787,104,,,,,,,,,,,,,,*6*5*4D3/H
21,y X-Lance Berkman\berkmla01,1st,5,1.2%,98,44,15,52.0,39.2,45.6,53.6,1879,6491,1146,1905,366,1234,86,1201,.293,.406,.537,.943,144,,,,,,,,,,,,,,*3*7*98DH
22,y X-Miguel Tejada\tejadmi01,1st,5,1.2%,149,44,16,47.1,36.6,41.9,55.3,2171,8434,1230,2407,307,1302,85,553,.285,.336,.456,.791,108,,,,,,,,,,,,,,*654/HD3
23,y X-Roy Oswalt\oswalro01,1st,4,0.9%,59,34,13,50.0,40.2,45.1,61.6,335,657,30,101,1,36,0,27,.154,.193,.169,.362,-4,163,102,3.36,127,1.211,365,341,0,2245.1,2199,197,520,1852,*1/H7
24,y X-Placido Polanco\polanpl01,1st,2,0.5%,42,26,16,41.9,32.4,37.1,57.0,1927,7214,1009,2142,104,723,81,429,.297,.343,.397,.740,95,,,,,,,,,,,,,,*4*56H/7D3
25,y X-Travis Hafner\hafnetr01,1st,0,0.0%,31,19,12,24.8,24.6,24.7,54.8,1183,4058,619,1107,213,731,11,598,.273,.376,.498,.874,134,,,,,,,,,,,,,,*DH3
26,y X-Darren Oliver\oliveda02,1st,0,0.0%,20,9,20,22.2,16.8,19.5,32.6,181,217,17,48,1,20,0,8,.221,.259,.286,.544,38,118,98,4.51,104,1.439,766,229,7,1915.2,2037,216,720,1259,*1/H
27,y X-Kevin Youkilis\youklke01,1st,0,0.0%,29,23,10,32.4,31.2,31.8,54.8,1061,3749,653,1053,150,618,26,539,.281,.382,.478,.861,123,,,,,,,,,,,,,,*3*5H/7D49
28,y X-Rick Ankiel\ankieri01,1st,0,0.0%,0,5,11,5.5,6.5,6.0,58.0,651,1921,260,462,76,251,21,162,.240,.302,.422,.724,92,13,10,3.90,119,1.355,51,41,1,242.0,198,32,130,269,*8H917
29,y X-Vernon Wells\wellsve01,1st,0,0.0%,52,19,15,28.6,26.2,27.4,58.0,1731,6642,930,1794,270,958,109,472,.270,.319,.459,.778,104,,,,,,,,,,,,,,*87D9H/345
30,y X-Jon Garland\garlajo01,1st,0,0.0%,17,9,13,22.5,19.5,21.0,61.6,102,175,12,24,1,7,0,10,.137,.187,.166,.353,-4,136,125,4.37,103,1.387,365,342,1,2151.1,2260,263,723,1156,*1/H
31,y X-Derek Lowe\lowede01,1st,0,0.0%,51,19,17,34.3,28.4,31.3,61.6,258,436,30,65,1,25,1,29,.149,.201,.186,.387,4,176,157,4.03,109,1.330,681,377,86,2671.1,2759,217,794,1722,*1/H
32,y X-Jason Bay\bayja01,1st,0,0.0%,47,21,11,24.7,24.6,24.7,53.6,1278,4505,737,1200,222,754,95,636,.266,.360,.481,.841,121,,,,,,,,,,,,,,*78H/9D
33,y X-Juan Pierre\pierrju01,1st,0,0.0%,63,23,14,17.3,16.7,17.0,58.0,1994,7525,1075,2217,18,517,614,464,.295,.343,.361,.704,84,,,,,,,,,,,,,,*8*7H/D
34,y X-Freddy Garcia\garcifr03,1st,0,0.0%,38,23,15,34.2,27.4,30.8,61.6,39,77,1,12,0,4,0,2,.156,.175,.182,.357,-5,156,108,4.15,107,1.303,376,357,0,2264.0,2243,285,708,1621,*1/H
35,y X-Ted Lilly\lillyte01,1st,0,0.0%,12,16,15,27.1,24.6,25.8,61.6,186,347,10,35,0,17,3,8,.101,.124,.124,.248,-34,130,113,4.14,106,1.255,356,331,0,1982.2,1827,293,661,1681,*1/H
