Year,Rk,Name,YoB,Votes,X.vote,HOFm,HOFs,Yrs,WAR,WAR7,JAWS,Jpos,G,AB,R,H,HR,RBI,SB,BB,BA,OBP,SLG,OPS,OPS.Plus,W,L,ERA,ERA.Plus,WHIP,G.1,GS,SV,IP,H.1,HR.1,BB.1,SO,PosSummary,Runoff,Special,NumBallots,VeteransCommittee,NegroLeagues,position,method
2007,5,Andre Dawson,6th,309,56.70%,118,44,21,60.6,41,50.8,54.8,2627,9927,1373,2774,438,1591,314,589,0.279,0.323,0.482,0.806,119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*8D7,0,0,545,0,0,RF,0
2007,6,Bert Blyleven,10th,260,47.70%,120,50,22,89.3,46.8,68,57.9,699,451,19,59,0,25,0,5,0.131,0.144,0.146,0.29,-19,287,250,3.31,118,1.198,692,685,0,4970,4632,430,1322,3701,*1,0,0,545,0,0,P,0
2007,7,Lee Smith,5th,217,39.80%,135,13,18,27.6,19.7,23.7,32.3,1023,64,2,3,1,2,0,3,0.047,0.09,0.094,0.183,-50,71,92,3.03,132,1.256,1022,6,478,1289.1,1133,89,486,1251,*1,0,0,545,0,0,P,0
2007,8,Jack Morris,8th,202,37.10%,122,39,18,39.3,30.8,35.1,57.9,568,1,4,0,0,0,0,0,0,0,0,0,-100,254,186,3.9,105,1.296,549,527,0,3824,3567,389,1390,2478,*1/D,0,0,545,0,0,P,0
2007,9,Mark McGwire,1st,128,23.50%,170,42,16,58.7,40.1,49.4,51.5,1874,6187,1167,1626,583,1414,12,1317,0.263,0.394,0.588,0.982,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D/59,0,0,545,0,0,1B,0
2007,10,Tommy John,13th,125,22.90%,112,44,26,56.3,32.3,44.3,57.9,761,900,43,141,5,54,0,33,0.157,0.187,0.188,0.375,7,288,231,3.34,111,1.283,760,700,4,4710.1,4783,302,1259,2245,*1,0,0,545,0,0,P,0
2007,11,Steve Garvey,15th,115,21.10%,130,32,19,34.4,27.2,30.8,51.5,2332,8835,1143,2599,272,1308,83,479,0.294,0.329,0.446,0.775,117,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*35/749,0,0,545,0,0,1B,0
2007,12,Dave Concepcion,14th,74,13.60%,106,29,19,36.5,28.4,32.4,52.1,2488,8723,993,2326,101,950,321,736,0.267,0.322,0.357,0.679,88,0,0,0,NA,1.5,1,0,0,1.1,2,0,0,1,*6453/81,0,0,545,0,0,SS,0
2007,13,Alan Trammell,6th,73,13.40%,118,40,20,67.1,43.3,55.2,52.1,2293,8288,1231,2365,185,1003,236,850,0.285,0.352,0.415,0.767,110,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6D5/478,0,0,545,0,0,SS,0
2007,14,Dave Parker,11th,62,11.40%,124,42,19,36.3,35.9,36.1,55.4,2466,9358,1272,2712,339,1493,154,683,0.29,0.339,0.471,0.81,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*D78/34,0,0,545,0,0,RF,0
2007,15,Don Mattingly,7th,54,9.90%,134,34,14,39.8,34.4,37.1,51.5,1785,7003,1007,2153,222,1099,14,588,0.307,0.358,0.471,0.83,127,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*3D97/548,0,0,545,0,0,1B,0
2007,16,Dale Murphy,9th,50,9.20%,116,34,18,42.6,39,40.8,54.8,2180,7960,1197,2111,398,1266,161,986,0.265,0.346,0.469,0.815,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*9372,0,0,545,0,0,CF,0
2007,17,Harold Baines,1st,29,5.30%,66,44,22,34,19.9,26.9,55.4,2830,9908,1299,2866,384,1628,34,1062,0.289,0.356,0.465,0.82,121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*D*98/7,0,0,545,0,0,DH,0
2007,18,Orel Hershiser,2nd,24,4.40%,90,34,18,52.7,38.4,45.5,57.9,521,810,65,163,0,50,8,27,0.201,0.23,0.242,0.472,31,204,150,3.48,112,1.261,510,466,5,3130.1,2939,235,1007,2014,*1,0,0,545,0,0,P,0
2007,19,Albert Belle,2nd,19,3.50%,135,36,12,36.9,34,35.4,50.7,1539,5853,974,1726,381,1239,88,683,0.295,0.369,0.564,0.933,144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*79D,0,0,545,0,0,LF,0
2007,20,Paul O'Neill,1st,12,2.20%,71,37,17,35.2,25.4,30.3,55.4,2053,7318,1041,2105,281,1269,141,892,0.288,0.363,0.47,0.833,120,0,0,13.5,37,3,1,0,0,2,2,1,4,2,*97/3D81,0,0,545,0,0,RF,0
2007,21,Bret Saberhagen,1st,7,1.30%,70,32,16,56,41.4,48.7,57.9,403,190,13,23,0,1,0,13,0.121,0.177,0.142,0.319,-13,167,117,3.34,126,1.141,399,371,1,2562.2,2452,218,471,1715,*1,0,0,545,0,0,P,0
2007,22,Jose Canseco,1st,6,1.10%,103,39,17,39.2,28.2,33.7,55.4,1887,7057,1186,1877,462,1407,200,906,0.266,0.353,0.515,0.867,132,0,0,27,21,5,1,0,0,1,2,0,3,0,*D*9*7/81,0,0,545,0,0,DH,0
2007,23,Tony Fernandez,1st,4,0.70%,75,32,17,42,29,35.5,52.1,2158,7911,1057,2276,94,844,246,690,0.288,0.347,0.399,0.746,101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*6*54/D,0,0,545,0,0,SS,0
2007,24,Dante Bichette,1st,3,0.60%,82,31,14,3,6.3,4.7,55.4,1704,6381,934,1906,274,1141,152,355,0.299,0.336,0.499,0.835,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9*7D8/5,0,0,545,0,0,RF,0
2007,25,Eric Davis,1st,3,0.60%,24,27,17,33.4,28.3,30.8,54.8,1626,5321,938,1430,282,934,349,740,0.269,0.359,0.482,0.841,125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*8*7*9D/3,0,0,545,0,0,CF,0
2007,26,Ken Caminiti,1st,2,0.40%,38,25,15,30.9,28.4,29.6,53.4,1760,6288,894,1710,239,983,88,727,0.272,0.347,0.447,0.794,116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*53/D,0,0,545,0,0,3B,0
2007,27,Bobby Bonilla,1st,2,0.40%,64,32,16,27.1,25.1,26.1,53.4,2113,7213,1084,2010,287,1173,45,912,0.279,0.358,0.472,0.829,124,0,0,18,32,4,1,0,0,1,3,1,1,0,*5*973D/81,0,0,545,0,0,3B,0
2007,28,Jay Buhner,1st,1,0.20%,35,26,15,20,17.1,18.5,55.4,1472,5013,798,1273,310,965,6,792,0.254,0.359,0.494,0.852,124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*9D8/73,0,0,545,0,0,RF,0
2007,29,Devon White,1st,0,0.00%,39,21,17,44.2,33.8,39,54.8,1941,7344,1125,1934,208,846,346,541,0.263,0.319,0.419,0.739,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*897/D,0,0,545,0,0,CF,0
2007,30,Scott Brosius,1st,0,0.00%,19,12,11,13.6,14.4,14,53.4,1146,3889,544,1001,141,531,57,348,0.257,0.323,0.422,0.744,94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,*598367/4D,0,0,545,0,0,3B,0
